,Scientific Name,Common Name,Maturity,Pollution Removal Per Year
,Malus Tschonoskii,Apple - Crab,Middle aged,162.7,-0.131683,51.548763 
,Ilex aquifolium,Holly,Juvenile,21.9,-0.137457,51.553974    
,"Acer platanoides ""Prin. Gold""",Maple - Norway,Juvenile,15.9,-0.127483,51.545942
,Prunus kanzan,Cherry - Double pint,Middle aged,,-0.171929,51.545037
,Fraxinus oxycarpa 'Raywood',Ash - Narrow-leafed,Middle aged,293,-0.18884,51.536561
,Prunus subhirtella,Cherry - Rosebud,Middle aged,21.9,-0.123487,51.516015 
,Parks,Acer platanoides,46,12.7,185384,-0.168176    
,Platanus x hispanica,London plane,Mature,427.5,-0.139741,51.528164  
,Hibiscus resi,Rose of Sharon,Juvenile,3.2,-0.205392,51.55495  
,Pyrus calleryana 'Chanticclere,Pear - Chanticclere,Middle aged,10.7,-0.136371,51.521428
,Platanus x hispanica,London plane,Mature,250.7,-0.149101,51.557302  
,Malus yunnanensis veitchii,Apple,Middle aged,59.2,-0.154425,51.549076  
,Platanus x hispanica,London plane,Middle aged,250.7,-0.125492,51.521078 
,Amelanchier lamarckii,June Berry,Juvenile,,-0.152122,51.553727   
,Acer pseudoplatanus,Sycamore,Middle aged,101.2,-0.129923,51.548778   
,Zelkova serrata,Japanese zelkova,Juvenile,8.5,-0.186761,51.554936   
,Fraxinus excelsior,Ash,Mature,310.6,-0.146659,51.565007    
,Sorbus intermedia,Whitebeam - Swedish,Mature,67.7,-0.18883,51.549131  
,Ginkgo biloba,Maidenhair tree,Middle aged,11.2,-0.12682,51.516103  
,Sorbus aucuparia,"Rowan Mountain Ash",Middle aged,12.6,-0.191457,51.539797 
,Tilia europaea,Lime - Common,Mature,96.1,-0.139723,51.543484  
,Acer pseudoplatanus,Sycamore,Middle aged,294.3,-0.139914,51.550308   
,Alnus glutinosa,Alder - Common,Mature,133.2,-0.148293,51.546407  
,Fraxinus excelsior 'Diversifol,Ash - One-leaved,Mature,184.3,-0.168304,51.55032 
,Acer campestre,Maple - Field,Middle aged,33.1,-0.124558,51.526821 
,Crataegus monogyna,Hawthorn - Common,Middle aged,14.4,-0.146638,51.564035 
,Acer pseudoplatanus,Sycamore,Mature,707.5,-0.135845,51.543225    
,Tilia europaea,Lime - Common,Mature,406.8,-0.182141,51.539247  
,Acer platanoides,Maple - Norway,Mature,455.8,-0.143822,51.567033  
,Crataegus monogyna,Hawthorn - Common,Mature,33.4,-0.205861,51.552717  
,Sorbus aria,Whitebeam,Mature,133.2,-0.123706,51.527732    
,"Acer platanoides ""Prin. Gold""",Maple - Norway,Juvenile,4.5,-0.14194,51.54843
,Betula nigra,Birch - River,Middle aged,50.9,-0.20507,51.553561 
,Parks,Sorbus aucuparia,5,0.6,184086,-0.133544    
,Acer pseudoplatanus,Sycamore,Mature,348.2,-0.175867,51.554184    
,Prunus avium,"Cherry - Wild Gean",Juvenile,,-0.162017,51.552178 
,Prunus avium,"Cherry - Wild Gean",Middle aged,29.3,-0.131109,51.531526
,Ilex aquifolium,Holly,Middle aged,21.9,-0.116312,51.516102   
,Crataegus x prunifolia,Hawthorn,Mature,60.3,-0.146167,51.56792   
,Platanus x hispanica,London plane,Mature,679.3,-0.151499,51.551219  
,Tilia europaea,Lime - Common,Mature,40.2,-0.193142,51.540533  
,Platanus x hispanica,London plane,Mature,1811.9,-0.12596,51.521239  
,Platanus x hispanica,London plane,Mature,279.7,-0.191666,51.551345  
,Vacant Tree Pit,Vacant Tree Pit,,,-0.148637,51.547489 
,Tilia europaea,Lime - Common,Mature,64.3,-0.13924,51.545878  
,Crataegus oxyacantha 'Pauls Sc,Hawthorn - Paul's
,Prunus padus,Cherry - Bird,Middle aged,16.6,-0.196907,51.557844 
,Laurus nobilis,Bay tree,Middle aged,,-0.192889,51.555428  
,Fraxinus excelsior,Ash,Mature,402.2,-0.143667,51.563394    
,Ulmus x hollandica,Elm - Dutch,Middle aged,195.1,-0.18761,51.538977
,Sorbus aucuparia 'Fastigiata',Rowan - Fastigiate,Middle aged,12.6,-0.172425,51.54431
,Platanus x hispanica,London plane,Mature,289.9,-0.208619,51.555569  
,Malus unidentified species,Apple,Mature,13.7,-0.130202,51.534015   
,Corporate Landlord,Prunus cerasifera,13,,185406,-0.142354   
,Betula pubescens,"Birch - Downy Hairy",Middle aged,29.6,-0.146133,51.569102
,Catalpa bignonioides,Indian Bean Tree,Middle aged,39.6,-0.178777,51.558325 
,Acer platanoides,Maple - Norway,Mature,268.1,-0.19835,51.543098  
,Amelanchier alnifolia obelisk,June berry - Upright,Juvenile,2.6,-0.119091,51.518239
,Betula jacquemontii,Birch - Himalayan,Middle aged,27.3,-0.189404,51.560157 
